ILMN_1651799 SLC38A2
ILMN_1712803 CCNB1
ILMN_1815941 SMAD7
ILMN_1660582 LIG3
ILMN_1849941 MAPK8
ILMN_1785324 MTHFD1
ILMN_1786429 LPAR6
ILMN_1808821 COMMD9
ILMN_1799579 CCDC51
ILMN_1876924 WNK1
ILMN_1723962 LXN
ILMN_1658677 DTX3
ILMN_1651429 NA
ILMN_1651735 TGOLN2
ILMN_1743635 ALG14
ILMN_1802843 PRCC
ILMN_1736068 CNOT8
ILMN_1746632 PHLPP2
ILMN_1726512 ZSCAN2
ILMN_1796360 FBXW11
ILMN_1755114 EIF2AK4
ILMN_1744584 DPCD
ILMN_1665414 DDX59
ILMN_1748077 DDX59
ILMN_1730416 CYCS
ILMN_1695983 DDX42
ILMN_1800975 PSME3
ILMN_1746990 JTB
ILMN_1781155 LYN
ILMN_1778337 HNF1B
ILMN_1661000 RPS6KC1
ILMN_1797666 SLC27A6
ILMN_1655163 STK24
ILMN_1723916 SPTLC1
ILMN_1656651 MR1
ILMN_1777118 INTS9
ILMN_1665065 SERINC3
ILMN_1815656 SERINC3
ILMN_1668699 CASD1
ILMN_1657332 CCDC85B
ILMN_1651229 IPO13
ILMN_1651611 LDLR
ILMN_1745034 SLC11A2
ILMN_1690566 RASSF4
ILMN_1758674 EMC6
ILMN_1794560 EMC6
ILMN_1674924 LINC00176
ILMN_1781700 IL18R1
ILMN_1772302 MTHFS
ILMN_1676986 NA
ILMN_1653429 SLC35A3
ILMN_1700628 DDX24
ILMN_1779064 KLC2
ILMN_1701869 FBXO22
ILMN_1669516 ZSCAN9
ILMN_1762666 DHRS4
ILMN_1667194 ZNF480
ILMN_1763064 ATAD2
ILMN_1695079 ZNF101
ILMN_1736510 FOXN2
ILMN_1782688 THNSL1
ILMN_1882590 NACC2
ILMN_1719286 CTSA
ILMN_1727644 PRMT3
ILMN_1811775 CCDC124
ILMN_1658285 ASF1A
ILMN_1687626 ZDHHC24
ILMN_1746784 SLAIN1
ILMN_1813475 HERC2
ILMN_1747244 CCNG2
ILMN_1746598 SCNM1
ILMN_1734782 ATP5O
ILMN_1679133 SERPINB1
ILMN_1703695 C19orf12
ILMN_1661173 TRIP4
ILMN_1747460 TMEM184B
ILMN_1773643 SLC38A9
ILMN_1711452 UEVLD
ILMN_1663575 STEAP1B
ILMN_1733094 STEAP1
ILMN_1765855 LRRC8C
ILMN_1681301 AIM2
ILMN_1815734 FCHSD2
